PRS-B	L.
PRS-I	Domitio
PRS-B	Ap.
PRS-I	Claudio
0	consulibus
0	,
0	discedens
0	ab
0	hibernis
PRS-B	Caesar
0	in
GEO-B	Italiam
0	,
0	ut
0	quotannis
0	facere
0	consuerat
0	,
0	legatis
0	imperat
0	quos
0	legionibus
0	praefecerat
0	uti
0	quam
0	plurimas
0	possent
0	hieme
0	naves
0	aedificandas
0	veteresque
0	reficiendas
0	curarent
0	.

0	Earum
0	modum
0	formamque
0	demonstrat
0	.

0	Ad
0	celeritatem
0	onerandi
0	subductionesque
0	paulo
0	facit
0	humiliores
0	quam
0	quibus
0	in
0	nostro
0	mari
0	uti
0	consuevimus
0	,
0	atque
0	id
0	eo
0	magis
0	,
0	quod
0	propter
0	crebras
0	commutationes
0	aestuum
0	minus
0	magnos
0	ibi
0	fluctus
0	fieri
0	cognoverat
0	;

0	ad
0	onera
0	,
0	ad
0	multitudinem
0	iumentorum
0	transportandam
0	paulo
0	latiores
0	quam
0	quibus
0	in
0	reliquis
0	utimur
0	maribus
0	.

0	Has
0	omnes
0	actuarias
0	imperat
0	fieri
0	,
0	quam
0	ad
0	rem
0	multum
0	humilitas
0	adiuvat
0	.

0	Ea
0	quae
0	sunt
0	usui
0	ad
0	armandas
0	naves
0	ex
GEO-B	Hispania
0	apportari
0	iubet
0	.

0	Ipse
0	conventibus
GEO-B	Galliae
GEO-I	citerioris
0	peractis
0	in
GEO-B	Illyricum
0	proficiscitur
0	,
0	quod
0	a
GRP-B	Pirustis
0	finitimam
0	partem
0	provinciae
0	incursionibus
0	vastari
0	audiebat
0	.

0	Eo
0	cum
0	venisset
0	,
0	civitatibus
0	milites
0	imperat
0	certumque
0	in
0	locum
0	convenire
0	iubet
0	.

0	Qua
0	re
0	nuntiata
GRP-B	Pirustae
0	legatos
0	ad
0	eum
0	mittunt
0	qui
0	doceant
0	nihil
0	earum
0	rerum
0	publico
0	factum
0	consilio
0	,
0	seseque
0	paratos
0	esse
0	demonstrant
0	omnibus
0	rationibus
0	de
0	iniuriis
0	satisfacere
0	.

0	Accepta
0	oratione
0	eorum
PRS-B	Caesar
0	obsides
0	imperat
0	eosque
0	ad
0	certam
0	diem
0	adduci
0	iubet
0	;

0	nisi
0	ita
0	fecerint
0	,
0	sese
0	bello
0	civitatem
0	persecuturum
0	demonstrat
0	.

0	Eis
0	ad
0	diem
0	adductis
0	,
0	ut
0	imperaverat
0	,
0	arbitros
0	inter
0	civitates
0	dat
0	qui
0	litem
0	aestiment
0	poenamque
0	constituant
0	.

0	His
0	confectis
0	rebus
0	conventibusque
0	peractis
0	,
0	in
GEO-B	citeriorem
GEO-I	Galliam
0	revertitur
0	atque
0	inde
0	ad
0	exercitum
0	proficiscitur
0	.

0	Eo
0	cum
0	venisset
0	,
0	circumitis
0	omnibus
0	hibernis
0	,
0	singulari
0	militum
0	studio
0	in
0	summa
0	omnium
0	rerum
0	inopia
0	circiter
0	sescentas
0	eius
0	generis
0	cuius
0	supra
0	demonstravimus
0	naves
0	et
0	longas
0	XXVIII
0	invenit
0	instructas
0	neque
0	multum
0	abesse
0	ab
0	eo
0	quin
0	paucis
0	diebus
0	deduci
0	possint
0	.

0	Collaudatis
0	militibus
0	atque
0	eis
0	qui
0	negotio
0	praefuerant
0	,
0	quid
0	fieri
0	velit
0	ostendit
0	atque
0	omnes
0	ad
0	portum
GEO-B	Itium
0	convenire
0	iubet
0	,
0	quo
0	ex
0	portu
0	commodissimum
0	in
GEO-B	Britanniam
0	traiectum
0	esse
0	cognoverat
0	,
0	circiter
0	milium
0	passuum
0	XXX
0	transmissum
0	a
0	continenti
0	<COLON>
0	huic
0	rei
0	quod
0	satis
0	esse
0	visum
0	est
0	militum
0	reliquit
0	;

0	ipse
0	cum
0	legionibus
0	expeditis
0	IIII
0	et
0	equitibus
0	DCCC
0	in
0	fines
GRP-B	Treverorum
0	proficiscitur
0	,
0	quod
0	hi
0	neque
0	ad
0	concilia
0	veniebant
0	neque
0	imperio
0	parebant
GRP-B	Germanosque
GEO-B	Transrhenanos
0	sollicitare
0	dicebantur
0	.

0	Haec
0	civitas
0	longe
0	plurimum
0	totius
GEO-B	Galliae
0	equitatu
0	valet
0	magnasque
0	habet
0	copias
0	peditum
GEO-B	Rhenumque
0	,
0	ut
0	supra
0	demonstravimus
0	,
0	tangit
0	.

0	In
0	ea
0	civitate
0	duo
0	de
0	principatu
0	inter
0	se
0	contendebant
0	,
PRS-B	Indutiomarus
0	et
PRS-B	Cingetorix
0	;

0	e
0	quibus
0	alter
0	,
0	simul
0	atque
0	de
PRS-B	Caesaris
0	legionumque
0	adventu
0	cognitum
0	est
0	,
0	ad
